timestamp,value
84900.5196928,1
84900.5365763,1
84900.5536183,1
84900.5699712,0
84900.5864789,0
84900.6033048,0
84900.6200453,1
84900.636537,1
84900.6536934,1
84900.6701378,0
84900.6870215,0
84900.7034109,0
84900.7202103,1
84900.7366541,1
84900.7533899,1
84900.7701002,0
84900.7867002,0
84900.803533,0
84900.8201904,1
84900.8367883,1
84900.8535601,1
84900.8701102,0
84900.8866975,0
84900.9032623,0
84900.9198965,1
84900.9367381,1
84900.9534794,1
84900.97011,0
84900.9867337,0
84901.0035165,0
84901.0202892,1
84901.0367005,1
84901.0536339,1
84901.070226,0
84901.0866861,0
84901.1036967,0
84901.1201344,1
84901.1368203,1
84901.1534067,1
84901.170427,0
84901.1867357,0
84901.2034831,0
84901.2202229,1
84901.2367283,1
84901.253512,1
84901.2702941,0
84901.2867885,0
84901.3034213,0
84901.3206312,1
84901.3371699,1
84901.3536797,1
84901.3703649,0
84901.3872387,0
84901.4035463,0
84901.4202236,1
84901.4371292,1
84901.453614,1
84901.470586,0
84901.4870186,0
84901.5036634,0
84901.5205321,1
84901.5370087,1
84901.5536214,1
84901.5703906,0
84901.5868603,0
84901.6036844,0
84901.6204541,1
84901.6371893,1
84901.6537404,1
84901.6705661,0
84901.6877239,0
84901.7037829,0
84901.7205691,1
84901.737109,1
84901.7536713,1
84901.7705769,0
84901.7873453,0
84901.8037959,0
84901.8204722,1
84901.8371936,1
84901.8537254,1
84901.8704666,0
84901.8873345,0
84901.9036231,0
84901.9206881,1
84901.9372801,1
84901.9539156,1
84901.9708814,0
84901.987327,0
84902.0039314,0
84902.0209201,1
84902.0370534,1
84902.0537405,1
84902.0707306,0
84902.0870597,0
84902.1040672,0
84902.1203347,1
84902.1373404,1
84902.1542077,1
84902.1705478,0
84902.1874115,0
84902.2040626,0
84902.2206471,1
84902.237257,1
84902.2542403,1
84902.2707798,0
84902.2875527,0
84902.3041783,0
84902.3207471,1
84902.3374776,1
84902.354188,1
84902.3707369,0
84902.3876005,0
84902.4041546,0
84902.4206333,1
84902.4373746,1
84902.4542257,1
84902.4706075,0
84902.487294,0
84902.5040168,0
84902.5209319,1
84902.5374821,1
84902.5541662,1
84902.570773,0
84902.5872293,0
84902.6042161,0
84902.6208689,1
84902.6376058,1
84902.6542817,1
84902.6708526,0
84902.6876088,0
84902.7042022,0
84902.7208646,1
84902.7375756,1
84902.7543333,1
84902.7709829,0
84902.7877973,0
84902.8044994,0
84902.8208598,1
84902.8375797,1
84902.8543714,1
84902.8708516,0
84902.8875281,0
84902.9044129,0
84902.9210597,1
84902.9376792,1
84902.9545762,1
84902.9709743,0
84902.9878428,0
84903.0044634,0
84903.0210457,1
84903.037762,1
84903.0543676,1
84903.0713103,0
84903.0875869,0
84903.1044158,0
84903.1212639,1
84903.1377444,1
84903.154566,1
84903.1713327,0
84903.1877434,0
84903.2044368,0
84903.221528,1
84903.2376529,1
84903.2544273,1
84903.2711456,0
84903.2878274,0
84903.3045241,0
84903.321258,1
84903.337875,1
84903.3545355,1
84903.3714556,0
84903.3878633,0
84903.4047065,0
84903.4212688,1
84903.437745,1
84903.4545659,1
84903.4712454,0
84903.4879515,0
84903.5045389,0
84903.5214539,1
84903.5377863,1
84903.5548399,1
84903.5714397,0
84903.5878599,0
84903.6048573,0
84903.62158,1
84903.6380939,1
84903.6548286,1
84903.6715985,0
84903.6882808,0
84903.7046318,0
84903.7212384,1
84903.7381019,1
84903.7545786,1
84903.7714433,0
84903.7883948,0
84903.8046699,0
84903.8216481,1
84903.8383678,1
84903.8547706,1
84903.8715022,0
84903.8884958,0
84903.9047949,0
84903.9217482,1
84903.9384907,1
84903.9548573,1
84903.9716046,0
84903.9881905,0
84904.0047512,0
84904.0214561,1
84904.0384624,1
84904.0547723,1
84904.0715881,0
84904.088066,0
84904.1048798,0
84904.1214596,1
84904.1383623,1
84904.1548082,1
84904.1715068,0
84904.1883247,0
84904.2050017,0
84904.2216854,1
84904.2383408,1
84904.2547356,1
84904.2717217,0
84904.2882978,0
84904.3049325,0
84904.3215361,1
84904.3384492,1
84904.3548161,1
84904.3716629,0
84904.3884057,0
84904.4050571,0
84904.42164,1
84904.4384218,1
84904.4553498,1
84904.4716876,0
84904.4884516,0
84904.5051734,0
84904.5217126,1
84904.5385964,1
84904.5551106,1
84904.5716911,0
84904.5883204,0
84904.6051817,0
84904.6216607,1
84904.6383622,1
84904.6552262,1
84904.671636,0
84904.6884857,0
84904.7053781,0
84904.72164,1
84904.7384383,1
84904.7550227,1
84904.7718019,0
84904.7886982,0
84904.805182,0
84904.821881,1
84904.8383997,1
84904.855238,1
84904.8717123,0
84904.8883845,0
84904.9052761,0
84904.9219301,1
84904.9383576,1
84904.9555017,1
84904.9718971,0
84904.9885773,0
84905.0052835,0
84905.021784,1
84905.0386678,1
84905.0554244,1
84905.0717842,0
84905.0883721,0
84905.1053407,0
84905.1219966,1
84905.1387777,1
84905.1555386,1
84905.1722405,0
84905.1887479,0
84905.2055548,0
84905.2220078,1
84905.2386537,1
84905.2553858,1
84905.2720173,0
84905.288738,0
84905.3054317,0
84905.3221267,1
84905.3386381,1
84905.3555029,1
84905.3721894,0
84905.3887298,0
84905.4054253,0
84905.4221911,1
84905.4389024,1
84905.4554619,1
84905.4722381,0
84905.4890086,0
84905.505301,0
